Index,Prefix,Department ID,Department,Description of Asset,Asset Number,SAP No.,Type,Manufacturer/Supplier,Model,Mfg SN,Mfg Year,Est Value,Maintenance Frequency,Functional Location,Functional Loc. Description,Assign Project,Floor,Prod. Line,Start Date,Due Date,Day Left,Status,Remark
343,SSSJA,88-15ME-SSSJA-001,,SINGLE SCREW SINGLE JIG AUTOMATIC SCREW MACHINE,I06858,,MACHINE,EVOLUTION MARKETING,SC-380,BD0218050409,2021.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
344,SSSJA,88-15ME-SSSJA-002,,SINGLE SCREW SINGLE JIG AUTOMATIC SCREW MACHINE,I07679,,MACHINE,EVOLUTION MARKETING,SC-380,BD0218050413,2021.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
345,SMAOW,88-15ME-SMAOW-001,,SMART OWEIGHING MACHINE,I07901,,MACHINE,IRADAR,,,,,,,,,,,,,,Idle,
346,SMAOW,88-15ME-SMAOW-002,,SMART OWEIGHING MACHINE,I07902,,MACHINE,IRADAR,,,,,,OBSOLETE,,,,,,,,Obsolete,TRANSFER 16EM
347,SPE,88-15ME-SPE-001,,SPECTROPHOTOMETER,I06864,,EQUIPMENT,SUNMAX ACTIVE TECHNOLOGY,,,,,,,,,,,,,,Idle,
348,SPIDR,88-15ME-SPIDR-001,,SPIN DRYER MACHINE,14501345,1000007890.0,MACHINE,SKYER TECHNOLOGIES PLT,,,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
349,SPIDR,88-15ME-SPIDR-002,,SPIN DRYER MACHINE,14501348,,MACHINE,SKYER TECHNOLOGIES PLT,,,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
350,WDF010,88-15ME-WDF010-001,,TOP COVER RADIUM JIG,,,JIG,,VS-WDF010,WDF20251129-010-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
351,TRASI,88-15ME-TRASI-001,,TRANSPORT SIMULATION VIBRATION,I06146,,MACHINE,SUNMAX ACTIVE TECHNOLOGY,,,,,,,,,,,,,,Idle,
352,WDF025,88-15ME-WDF025-001,,TRAVEL MOTOR ACCESSORIES FIXTURE,,,JIG,,VS-WDF025,WDF20251129-025-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
353,WDF024,88-15ME-WDF024-001,,TRAVEL MOTOR BRACKET SCREW FIXTURE,,,JIG,,VS-WDF024,WDF20251129-024-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
354,WDF022,88-15ME-WDF022-001,,TRAVEL MOTOR OIL SEAL PRESS FIXTURE,,,FIXTURE,,VS-WDF022,WDF20251129-022-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
355,WDF023,88-15ME-WDF023-001,,TRAVEL MOTOR SCREW FIXTURE,,,JIG,,VS-WDF023,WDF20251129-023-002,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
356,WDF023,88-15ME-WDF023-002,,TRAVEL MOTOR SCREW FIXTURE,,,JIG,,VS-WDF023,WDF20251129-023-002,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
357,AIPT,88-15ME-AIPT-008,,TRAVEL MOTOR TESTER - MOTOR ASSEMBLY TESTER,14501367,1000007871.0,TESTER,,,,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
358,TUNDR,88-15ME-TUNDR-001,,TUNNEL DRYING FURNACE,14501346,1000007858.0,MACHINE,QIANCHENGXIN,ZDSGHDL-20250808,ZG2025091001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
359,TUNDR,88-15ME-TUNDR-002,,TUNNEL DRYING FURNACE,14501347,,MACHINE,QIANCHENGXIN,ZDSGHDL-20250808,ZG2025091002,2025.0,,,,,AIPER,F2_LINE,,,,,Idle,
360,TIF,88-15ME-TIF-001,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,Idle,
361,TIF,88-15ME-TIF-002,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,Idle,
362,TIF,88-15ME-TIF-003,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,Idle,
363,TIF,88-15ME-TIF-004,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,Idle,
364,TIF,88-15ME-TIF-005,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,Idle,
365,TIF,88-15ME-TIF-006,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,Idle,
366,TIF,88-15ME-TIF-007,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,Idle,
367,TIF,88-15ME-TIF-008,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,Idle,
368,TIF,88-15ME-TIF-009,,TWIN IONIZING FAN,,,EQUIPMENT,ZEJING,ZJ-LCFJ,2022,,,,,,,,,,,,Idle,
369,ULTPL,88-15ME-ULTPL-001,,ULTRASONIC PLASTIC WELDER,I08083,,MACHINE,KSONIC,K3000A,K1167,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,
370,ULTPL,88-15ME-ULTPL-002,,ULTRASONIC PLASTIC WELDER,I08082,,MACHINE,KSONIC,KWB2615-L,K1168,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
371,ULTPL,88-15ME-ULTPL-003,,ULTRASONIC PLASTIC WELDER,I08088,,MACHINE,KSONIC,IBA-F1530S,K1339,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
372,ULTPL,88-15ME-ULTPL-004,,ULTRASONIC PLASTIC WELDER,,,MACHINE,KSONIC,KWB2615-L,K1169,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
373,UCM,88-15ME-UCM-001,,UV CURING MACHINE,,,MACHINE,VS78,,,,,,,,,,,,,,Idle,
374,UCM,88-15ME-UCM-002,,UV CURING MACHINE,,,MACHINE,SKYER TECHNOLOGIES PLT,,,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
375,VERLI,88-15ME-VERLI-001,,VERTICAL LIFTER CONVENYOR,I07896,,MACHINE,JTU PTE LTD,SJ-L5BS,20220325001,2022.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
376,VERLI,88-15ME-VERLI-002,,VERTICAL LIFTER CONVENYOR,I07516,,MACHINE,JTU,SJ-L5BS,20220105001,2022.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
377,VERLI,88-15ME-VERLI-003,,VERTICAL LIFTER CONVENYOR,I08033,,MACHINE,,SJ-L5BS,20211018004,2021.0,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
378,VERLI,88-15ME-VERLI-004,,VERTICAL LIFTER CONVENYOR,I08034,,MACHINE,,SJ-L5BS,20211018001,2021.0,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
379,VISCH,88-15ME-VISCH-001,,VISION CHECKING SYSTEM,I08483,,MACHINE,WANDEL,,,,,,1006-10PE-P1F2,PLO 62 FLOOR 02,,,,,,,Idle,
380,VISCH,88-15ME-VISCH-002,,VISION CHECKING SYSTEM,I07951,,EQUIPMENT,WANDEL,,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,
381,VISCH,88-15ME-VISCH-003,,VISION CHECKING SYSTEM,I07815,,EQUIPMENT,WANDEL,,,,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,
382,AIPT,88-15ME-AIPT-009,,WATER PUMP MOTOR TESTER - MOTOR ASSEMBLY TESTER,14501367,1000007864.0,TESTER,,,,,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
383,WDF006,88-15ME-WDF006-001,,WATER RETAIN STRIP CUT FIXTURE 1,,,FIXTURE,,VS-WDF006,WDF20251129-006-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
384,WDF039,88-15ME-WDF039-001,,WATER RETAIN STRIP CUT FIXTURE 2,,,FIXTURE,,VS-WDF039,WDF20251129-039-001,2025.0,,,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,F2_LINE,,,,,Good,
385,WSFR,88-15ME-WSFR-001,,WATERON SCREW FASTENING ROBOT,I07994,,MACHINE,CHANG SOON,WT-4221-2Y,2021SF001,2021.0,,,1006-10PE-P1F0,PLO 62 GROUND FLOOR,,,,,,,Idle,
386,WSS,88-15ME-WSS-001,,WELLER SOLDERING STATION,,,EQUIPMENT,WELLER,WT1012N,2020,,,,,,,,,,,,Idle,
387,WSS,88-15ME-WSS-002,,WELLER SOLDERING STATION,,,EQUIPMENT,WELLER,WT1012N,2020,,,,,,,,,,,,Idle,
388,WSS,88-15ME-WSS-003,,WELLER SOLDERING STATION,,,EQUIPMENT,WELLER,WT1012N,2020,,,,,,,,,,,,Idle,
389,WSS,88-15ME-WSS-004,,WELLER SOLDERING STATION,,,EQUIPMENT,WELLER,WT1012N,2020,,,,,,,,,,,,Idle,
390,WSS,88-15ME-WSS-005,,WELLER SOLDERING STATION,,,EQUIPMENT,WELLER,WT1012N,2020,,,,,,,,,,,,Idle,
391,WRAMA,88-15ME-WRAMA-001,,WRAPPING MACHINE,I08118,,MACHINE,SUNSTREAM INDUSTRIES,,,,,,,,,,,,,,Idle,
392,ZZ6L,88-15ME-ZZ6L-001,,ZEBRA ZT411 600DPI LABEL,I06072,,EQUIPMENT,ZEBRA,,,,,,,,,,,,,,Idle,
393,ZZ6L,88-15ME-ZZ6L-002,,ZEBRA ZT411 600DPI LABEL,I07271,,EQUIPMENT,ZEBRA,,,,,,OBSOLETE,,,,,,,,Obsolete,TRANSFER TO 15AS
394,ZZ6L,88-15ME-ZZ6L-003,,ZEBRA ZT411 600DPI LABEL,I07270,,EQUIPMENT,ZEBRA,,,,,,,,,,,,,,Idle,
395,ZZ6L,88-15ME-ZZ6L-004,,ZEBRA ZT411 600DPI LABEL,I08061,,EQUIPMENT,DSQUARED,,,,,,OBSOLETE,,,,,,,,Obsolete,TRANSFER 16P
396,ZP,88-15ME-ZP-001,,ZEBRA PRINTER,,,EQUIPMENT,LYC,G123,20161201123456,2026.0,,YEARLY,,,,,,2026-02-20,2027-02-20,365.0,Good,
397,ZP,88-15ME-ZP-002,15ME,ZEBRA PRINTER,,,EQUIPMENT,LYC,G123,2025120512356,2025.0,,MONTHLY,,,,,,2026-02-20,2026-03-22,30.0,Good,
398,ZP,88-15ME-ZP-003,15ME,ZEBRA PRINTER,,,EQUIPMENT,LYC,G123,2025120512356,2026.0,,YEARLY,,,,,,2026-02-20,2027-02-20,365.0,Good,
