Date,Job ID,Job Type,Severity,Shift,Location,Machine/Equipment,Machine ID,Date/Time Start,Date/Time End,Duration,JobStatus,Problem Description,Immediate Action,Root Cause,Preventive Action,Spare Parts Used,Reported By,Created At
21-02-26,26-02-21/02,Maintenance,Low,Day-A,Plant-1,Press Machine,88-15ME-PM-001,21-02-26 10:45,21-02-26 11:30,45,Close,Press Machine malfunction,Check Press Machine power supply and repair the plug,Plug loose,Replace new plug,,Azli Mohd Hanifiah,21-02-26 22:47
2026-03-02,26-03-02/01,Maintenance,Low,DAY,MAINLINE 2,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,88-15ME-DSDJA-010,2026-03-02 09:15:00,2026-03-02 18:00:00,525,Close,New machine installation,Teaching and setup screwing method,New machine,Daily PM,,Azli Mohd Hanifiah,2026-03-02 13:39:26
2026-03-03,26-03-03/01,Maintenance,Medium,Morning,E1G line,Tester machine,Aiper Tester,2026-03-03 08:16:00,2026-03-03 11:00:00,164,Open,To check if the tester machine is in good condition or not?,Install the power supply on all testers and try to turn them on to see if the tester is OK or NG,NA,NA,,Muhamad Hadif Bin Zainuri,2026-03-03 08:26:16
2026-03-03,26-03-03/02,Other,Low,DAY,MAINLINE 2,PC INSTALLATION,NA,2026-03-03 08:45:00,2026-03-03 11:00:00,135,Close,Newly assembled PC during installation process.,Checked all connections and reinstalled components to ensure proper installation.,NA,NA,,WAN NUR SYAFIQAH BINTI WAN HAMIMI,2026-03-03 08:38:27
2026-03-03,26-03-03/03,Other,Low,DAY,MAINLINE 2,PC INSTALLATION,NA,2026-03-03 08:45:00,2026-03-03 11:00:00,135,Close,Newly assembled PC during installation process.,Checked all connections and reinstalled components to ensure proper installation.,NA,NA,,WAN NUR SYAFIQAH BINTI WAN HAMIMI,2026-03-03 08:38:31
